d_age,d_gender,d_code,cnt,min_cover,average_cover,max_cover,mdn_cover,min_insufee,average_insufee,max_insufee,mdn_insufee
10,1,1,6747,0,28165283.99,172000000,25000000,0,77336.36565,1677400,61200
NULL,null,2,105,1000000,10254385.96,30000000,10000000,10900,84574.10965,230350,76000
10,1,3,2064,0,6533677.665,50000000,4000000,1027,85226.98245,1019650,71121
NULL,null,4,427,0,20359308.06,130000000,20000000,5281,98061.36493,1229800,78410
10,1,5,2643,0,24008510.41,160000000,20000000,800,97018.49273,1000000,84486
10,1,6,3395,10000,21915573.59,110000000,20000000,0,92294.107,1019650,80650
10,1,2,1724,500000,14249558.15,50000000,10000000,8070,87327.02262,419425,77900
10,1,4,4617,0,24269872.45,150000000,20000000,0,93832.82817,1019650,81100
10,1,7,1649,500000,14867833.21,50000000,10000000,8070,85353.14445,419425,76280
NULL,NULL,6,3,20000000,28000000,60000000,20000000,70370,82131.06667,156150,70370
10,2,1,3757,0,29504564.3,380952000,30000000,0,68499.89503,1010000,55220
10,2,3,1198,100000,7048972.854,50000000,4000000,345,76891.635,678475,60075
10,2,5,1450,1000000,23584481.21,129000000,20000000,345,80966.33512,597992,66100
10,2,6,1908,10000,23082520.16,380952000,20000000,0,82512.70386,1000000,69230
10,2,2,1089,500000,14574254.82,50000000,10000000,10000,77770.87668,600000,65080
10,2,4,2579,10000,25152865.19,380952000,20000000,0,81637.51095,1000000,67581
10,2,7,1037,500000,15461692.02,50000000,10000000,10000,76544.34981,600000,65000
20,1,1,343042,0,27225901.1,800000000,25000000,0,82782.58469,26600000,70960
20,1,3,126126,0,5004436.243,50000000,4000000,0,89983.10537,18135899,86500
20,1,5,169416,0,22424730.55,192000000,20000000,0,97146.25949,26600000,86220
20,1,6,227285,10000,22726530.9,800000000,20000000,0,95864.40774,18135899,85540
20,1,2,60687,10000,11615320.68,135000000,10000000,0,89137.54423,2571311,81980
20,1,4,294066,0,24423809.08,800000000,20000000,0,95947.82432,26600000,84240
NULL,null,6,334,507000,18367523.81,100000000,15000000,5281,96559.78822,1108800,80932
20,1,7,54855,100000,11505222.37,135000000,10000000,2400,86536.63605,1027536,80550
20,2,1,212425,0,27857284.28,558139000,30000000,0,71644.61948,28700000,62928
NULL,2,2,2,3000000,16500000,30000000,30000000,80230,88480,96730,96730
20,2,3,82917,0,5233355.895,50000000,4000000,0,75779.82681,6624196,70420
20,2,5,106255,0,22076932.94,220000000,20000000,0,82574.78165,28700000,71758
20,2,6,147102,10000,22479187.37,558139000,20000000,0,82082.12462,6624196,72560
20,2,2,49050,100000,11770321.87,100000000,10000000,0,77694.15382,1028530,70500
NULL,NULL,4,5,10000000,27083333.33,60000000,20000000,64100,98878.58333,289300,90500
20,2,4,184323,0,24248206.45,558139000,20000000,0,81899.2298,28700000,70480
20,2,7,45517,100000,12409306.53,60000000,10000000,0,75992.2465,1002220,70140
30,1,1,371512,0,26161373.97,800000000,24000000,0,87653.17348,29200000,79290
30,1,3,138623,0,4960115.353,50000000,4000000,0,93516.5274,9316722,87898
30,1,5,193540,0,21735614.61,300000000,20000000,0,105682.6768,29200000,96130
30,1,6,270166,0,19217250.64,800000000,20000000,0,99071.40383,9393885,88200
30,1,2,79902,100000,10229761.28,100000000,10000000,0,88531.50523,8370000,80000
30,1,4,341798,0,21736271.89,800000000,20000000,0,101864.506,29200000,90740
30,1,7,73628,100000,10112103.23,60000000,10000000,0,86243.65705,8370000,78655
30,2,1,253017,0,27425027.48,370341000,25000000,0,72006.51486,28300000,62450
30,2,3,101886,0,5365879.319,50000000,4000000,0,77982.55986,6368990,68432
30,2,5,135642,0,20807954.59,200000000,20000000,0,86483.91422,28300000,73780
