has_insurance,age_group,gender,has_dependent,income,family_history,disease,진료비 총합,급여부분 총합,공단 부담금(급여),민영의료보험 보장금(급여 + 비급여),입원시 급여,입원시 비급여,평균 통원 일일 비용,통원비,본인부담금 총합,급여부분 본인부담 총합,급여부분 본인부담 입원 총합,급여부분 본인부담 통원 총합,비급여부분 본인부담 총합,비급여부분 본인부담 입원 총합,비급여부분본인부담 통원 총합,보험금 수령후 본인부담금,보건의료용 건강기능식품 교통비 가족간병비,생애주기 사망확률,가족력(부모),가족력(형제자매),가족력(전체),가족력 및 건강상태 반영한 질병보장 적정 구성비,일반병원 치료일수,입원치료일수,통원치료일수,요양 치료일수,개인소득 부양가족 무,가구소득 부양가족 유,국민건강보험 민영의료보험 적용 안되는 본인 부담 치료비,일반병원 치료기간생활비,요양병원 치료기간생활비,진단비 필요금액,보건분야 소비자물가지수,생활비 상승률,보건 물가 상승률 반영 진단비 필요금액,,생애주기중 진단비 최고값,,세대주 생활비,월보험료,납기,갱신/비갱신,적정 월납보험료,,월급대비 건강보험료 장기요양보험료,"DB손보기준 
15세 
20세 
30세 
40세 
50세 
60세",users_reg,min_coverage,avg_coverage,max_coverage,mdn_coverage
1,10,1,1,,,1,24530934,16239478,14945983,8614262,632131,3601808,53484,4380322,9584951,1293495,702368,591127,8291456,4502260,3789195,970689,286000,26.38,65.95,65.95,92.33,1,126,44,82,210,740000,,1256689,4428136,7380226,13065050,1684825,33531981,35216806,10216806,138754516,113754516,,,20,비갱신,부모납입,부모납입,근로자,6389,6747,0,28165283.99,172000000,25000000
1,10,1,1,,,2,2941195,1947071,1596598,928124,171276,431847,472678,325000,1344597,350473,190307,160166,994124,539809,454315,416473,286000,0.00,0.00,0.00,0.00,-,2,1,1,,일변환,,702473,70288,,772761,941796,199595,1141391,-2858609,3185556,-814444,,,20,비갱신,,,25930,,2064,0,6533677.665,50000000,4000000
1,10,1,1,,,3,11511817,7620823,6808104,4237021,397176,1690248,143786,2149597,4703713,812719,441306,371413,3890994,2112810,1778184,466693,286000,7.05,9.12,11.07,11.07,3,23,8,15,,24667,,752693,808310,7380226,8941229,1009124,23252832,24261956,4261956,83661383,63661383,,,20,비갱신,,,사업주,,2643,0,24008510.41,160000000,20000000
1,10,1,1,,,4,4145399,2744254,2311796,1657956,211342,608657,80573,837956,1833603,432458,234825,197633,1401145,760822,640323,175647,286000,7.05,9.12,11.07,11.07,3,16,6,10,,,,461647,562303,7380226,8404176,618923,22554249,23173172,3173172,64330821,44330821,,,20,비갱신,,,25930,,3395,10000,21915573.59,110000000,20000000
1,10,1,1,,,5,3756201,2486605,2186132,1415875,146841,551512,45995,717521,1570069,300473,163157,137316,1269596,689391,580205,154194,286000,7.05,9.12,11.07,11.07,3,24,8,16,,,,440194,843454,7380226,8663874,590162,23352629,23942791,13942791,71561499,61561499,,,20,비갱신,,,,,1724,500000,14249558.15,50000000,10000000
1,10,1,1,,,6,4708047,3116727,2798682,1719278,155429,691269,223738,872580,1909365,318045,172698,145347,1591320,864087,727233,190087,286000,10.20,15.30,15.30,15.30,2,6,2,4,,,,476087,210864,7380226,8067177,638283,21556273,22194557,2194557,66799610,46799610,,,20,비갱신,,,,,4617,0,24269872.45,150000000,20000000
1,10,1,1,,,7,1332426,882066,742770,533183,68074,195636,103643,269473,589656,139296,75638,63658,450360,244545,205815,56473,286000,10.20,15.30,15.30,15.30,2,4,1,3,,,,342473,140576,,483049,459149,399190,858339,-9141661,2515880,-7484120,,,20,비갱신,,,,,1649,500000,14867833.21,50000000,10000000
1,10,2,1,,,1,24835600,16441167,15289766,8571677,562690,3646542,52433,4362446,9545834,1151401,625211,526190,8394433,4558177,3836256,974156,286000,15.92,39.80,39.80,55.72,1,128,45,83,,770000,,1260156,4498423,7380226,13138806,1725608,36828691,38554298,8554298,100823041,70823041,,,20,비갱신,,,,4637,3757,0,29504564.3,380952000,30000000
1,10,2,1,,,2,581160,384728,315477,240590,33843,85330,186796,121417,265683,69251,37603,31648,196432,106663,89769,25093,286000,0.00,0.00,0.00,0.00,-,1,0,1,,일변환,,311093,35144,,346237,425998,108961,534959,-3465041,2916756,-1083244,,,20,비갱신,,,,,1198,100000,7048972.854,50000000,4000000
1,10,2,1,,,3,9250077,6123551,5459711,3414779,324419,1358163,106597,1732197,3790366,663840,360465,303375,3126526,1697704,1428822,375587,286000,8.61,11.13,13.52,13.52,3,25,9,16,,25667,,661587,878598,7380226,8920412,905951,25605746,26511697,6511697,54366301,34366301,,,20,비갱신,,,,,1450,1000000,23584481.21,129000000,20000000
